$Student

 CNT          'Country code 3-character'                                                                                                                                                                                  
 ST353Q02JA   'During COVID closures, how often did family member: Ask you what you were learning'                                                                                                                        
 ST353Q03JA   'During COVID closures, how often did family member: Help you create a learning schedule'                                                                                                                   
 ST353Q04JA   'During COVID closures, how often did family member: Help you access learning materials online'                                                                                                             
 ST353Q05JA   'During COVID closures, how often did family member: Check whether you were completing your school assignments'                                                                                             
 ST353Q06JA   'During COVID closures, how often did family member: Explain new content to you'                                                                                                                            
 ST353Q07JA   'During COVID closures, how often did family member: Help you find additional learning resources'                                                                                                           
 ST353Q08JA   'During COVID closures, how often did family member: Teach you additional topics not part of your school assignments'                                                                                       
 ST354Q01JA   'During COVID closures, agree/disagree: I felt lonely.'                                                                                                                                                     
 ST354Q02JA   'During COVID closures, agree/disagree: I enjoyed learning by myself.'                                                                                                                                      
 ST354Q03JA   'During COVID closures, agree/disagree: My teachers were available when I needed help (e.g. through virtual office hours, email, chat).'                                                                    
 ST354Q04JA   'During COVID closures, agree/disagree: I felt anxious about school work.'                                                                                                                                  
 ST354Q05JA   'During COVID closures, agree/disagree: I was motivated to learn.'                                                                                                                                          
 ST354Q06JA   'During COVID closures, agree/disagree: I fell behind in my school work.'                                                                                                                                   
 ST354Q07JA   'During COVID closures, agree/disagree: I improved my skills in using digital devices for learning purposes.'                                                                                               
 ST354Q08JA   'During COVID closures, agree/disagree: My teachers were well prepared to provide instruction remotely.'                                                                                                    
 ST354Q09JA   'During COVID closures, agree/disagree: I was well prepared to learn on my own.'                                                                                                                            
 ST354Q10JA   'During COVID closures, agree/disagree: I missed sports and other physical activities organised by my school.'                                                                                              
 ST355Q01JA   'Confident can do in future: Using a learning management system or school learning platform (e.g. Blackboard®, Edmodo®, Moodle®, Google® Classroom™)'                                                       
 ST355Q02JA   'Confident can do in future: Using a video communication program (e.g. Zoom™, Skype™, Google® Meet™, Microsoft® Teams)'                                                                                     
 ST355Q03JA   'Confident can do in future: : Finding learning resources online on my own'                                                                                                                                 
 ST355Q04JA   'Confident can do in future: Planning when to do school work on my own'                                                                                                                                     
 ST355Q05JA   'Confident can do in future: Motivating myself to do school work'                                                                                                                                           
 ST355Q06JA   'Confident can do in future: Focusing on school work without reminders'                                                                                                                                     
 ST355Q07JA   'Confident can do in future: Completing school work independently'                                                                                                                                          
 ST355Q08JA   'Confident can do in future: Assessing my progress with learning'                                                                                                                                           
 ST356Q01JA   'Overall, how prepared feel for learning on own if school building closed again for extended period the future?'                                                                                            
 ST331Q01JA   'How much effort did you put into doing well on the PISA test?'                                                                                                                                             
 ST331Q02JA   'How much effort would you have invested if your results from the PISA test were counted in your [school marks]?'                                                                                           
 ST331Q03JA   'How much effort did you put into giving accurate answers?'                                                                                                                                                 
 FL150Q01TA   'Have you learned to manage money in a course: At school, in a subject or course specifically about managing your money'                                                                                    
 FL150Q02TA   'Have you learned to manage money in a course: At school as part of another subject or course'                                                                                                              
 FL150Q03TA   'Have you learned to manage money in a course: In an activity outside school'                                                                                                                               
 FL164Q01HA   'In school lessons in last 12 months, have you heard of or learnt about: Interest payment'                                                                                                                  
 FL164Q02HA   'In school lessons in last 12 months, have you heard of or learnt about: Compound interest'                                                                                                                 
 FL164Q03HA   'In school lessons in last 12 months, have you heard of or learnt about: Exchange rate'                                                                                                                     
 FL164Q04HA   'In school lessons in last 12 months, have you heard of or learnt about: Depreciation'                                                                                                                      
 FL164Q05HA   'In school lessons in last 12 months, have you heard of or learnt about: Shares/stocks'                                                                                                                     
 FL164Q06HA   'In school lessons in last 12 months, have you heard of or learnt about: Return on investment'                                                                                                              
 FL164Q07HA   'In school lessons in last 12 months, have you heard of or learnt about: Dividend'                                                                                                                          
 FL164Q08HA   'In school lessons in last 12 months, have you heard of or learnt about: Diversification'                                                                                                                   
 FL164Q09HA   'In school lessons in last 12 months, have you heard of or learnt about: Debit card'                                                                                                                        
 FL164Q10HA   'In school lessons in last 12 months, have you heard of or learnt about: Bank loan'                                                                                                                         
 FL164Q11HA   'In school lessons in last 12 months, have you heard of or learnt about: Pension plan'                                                                                                                      
 FL164Q12HA   'In school lessons in last 12 months, have you heard of or learnt about: Budget'                                                                                                                            
 FL164Q13HA   'In school lessons in last 12 months, have you heard of or learnt about: Wage'                                                                                                                              
 FL164Q14HA   'In school lessons in last 12 months, have you heard of or learnt about: Entrepreneur'                                                                                                                      
 FL164Q15HA   'In school lessons in last 12 months, have you heard of or learnt about: Central bank'                                                                                                                      
 FL164Q16HA   'In school lessons in last 12 months, have you heard of or learnt about: Income tax'                                                                                                                        
 FL166Q01HA   'In school, how often encountered: Describing the purpose and uses of money'                                                                                                                                
 FL166Q02HA   'In school, how often encountered: Exploring the difference between spending money on needs and wants'                                                                                                      
 FL166Q03HA   'In school, how often encountered: Exploring ways of planning to pay an expense'                                                                                                                            
 FL166Q05HA   'In school, how often encountered: Discussing the rights of consumers when dealing with financial institutions'                                                                                             
 FL166Q06HA   'In school, how often encountered: Discussing the ways in which money invested in the stock market changes value over time'                                                                                 
 FL166Q07HA   'In school, how often encountered: Analysing advertisements to understand how they encourage people to buy things'                                                                                          
 FL174Q01JA   'Encountered these during: During your mathematics class'                                                                                                                                                   
 FL174Q02JA   'Encountered these during: During classes about social sciences ([national example])'                                                                                                                       
 FL174Q03JA   'Encountered these during: During classes about citizenship ([civic education or 'the world around me' or other national example])'                                                                         
 FL174Q04JA   'Encountered these during: During classes about economics or business'                                                                                                                                      
 FL174Q05JA   'Encountered these during: During another class'                                                                                                                                                            
 FL174Q06JA   'Encountered these during: During a one-off lesson or activity in school time from an outside visitor (not one of your teachers)'                                                                           
 FL174Q07JA   'Encountered these during: During extra-curricular activity outside of school time'                                                                                                                         
 FL167Q01HA   'How often discuss with parents/guardians/relatives: Your spending decisions'                                                                                                                               
 FL167Q02HA   'How often discuss with parents/guardians/relatives: Your savings decisions'                                                                                                                                
 FL167Q06JA   'How often discuss with parents/guardians/relatives: How to use your allowance or pocket money'                                                                                                             
 FL167Q03HA   'How often discuss with parents/guardians/relatives: The family budget'                                                                                                                                     
 FL167Q04HA   'How often discuss with parents/guardians/relatives: Money for things you want to buy'                                                                                                                      
 FL167Q05HA   'How often discuss with parents/guardians/relatives: News related to economics or finance'                                                                                                                  
 FL167Q07JA   'How often discuss with parents/guardians/relatives: Shopping online'                                                                                                                                       
 FL170Q01JA   'In last 12 months, how often get money from: An allowance or pocket money for doing chores at home'                                                                                                        
 FL170Q02JA   'In last 12 months, how often get money from: An allowance or pocket money, without having to do any chores'                                                                                                
 FL170Q03JA   'In last 12 months, how often get money from: Working outside school hours (e.g. a holiday job, part-time work)'                                                                                            
 FL170Q04JA   'In last 12 months, how often get money from: Working in a family business'                                                                                                                                 
 FL170Q05JA   'In last 12 months, how often get money from: Occasional informal jobs (e.g. baby-sitting or gardening)'                                                                                                    
 FL170Q06JA   'In last 12 months, how often get money from: Gifts from friends or relatives'                                                                                                                              
 FL170Q07JA   'In last 12 months, how often get money from: Selling things (e.g. at local markets or on [eBay])'                                                                                                          
 FL159Q01HA   'Agree/disagree: I can decide independently what to spend my money on.'                                                                                                                                     
 FL159Q02HA   'Agree/disagree: I can spend small amounts of my money independently, but for larger amounts I need to ask my parents or guardians for permission.'                                                         
 FL159Q03HA   'Agree/disagree: I need to ask my parents or guardians for permission before I spend any money on my own.'                                                                                                  
 FL159Q04HA   'Agree/disagree: I am responsible for my own money matters (e.g. for preventing theft).'                                                                                                                    
 FL160Q01HA   'When buying product, how often: Compare prices in different shops'                                                                                                                                         
 FL160Q02HA   'When buying product, how often: Compare prices between a shop and an online shop'                                                                                                                          
 FL160Q03HA   'When buying product, how often: Buy the product without comparing prices'                                                                                                                                  
 FL160Q04HA   'When buying product, how often: Wait until the product gets cheaper before buying it'                                                                                                                      
 FL161Q01HA   'Do you have any of the following things: An account with a [bank, building society, post office or credit union]'                                                                                          
 FL161Q02HA   'Do you have any of the following things: A payment card/debit card'                                                                                                                                        
 FL161Q03HA   'Do you have any of the following things: A mobile app to access your account'                                                                                                                              
 FL162Q01HA   'How confident would you feel about: Making a money transfer (e.g. paying a bill)'                                                                                                                          
 FL162Q02HA   'How confident would you feel about: Filling in forms at the bank'                                                                                                                                          
 FL162Q03HA   'How confident would you feel about: Understanding bank statements'                                                                                                                                         
 FL162Q04HA   'How confident would you feel about: Understanding a sales contract'                                                                                                                                        
 FL162Q05HA   'How confident would you feel about: Keeping track of my account balance'                                                                                                                                   
 FL162Q06HA   'How confident would you feel about: Planning my spending with consideration of my current financial situation'                                                                                             
 FL163Q01HA   'Confident use digital device to: Transferring money'                                                                                                                                                       
 FL163Q02HA   'Confident use digital device to: Keeping track of my balance'                                                                                                                                              
 FL163Q03HA   'Confident use digital device to: Paying with a debit card instead of using cash'                                                                                                                           
 FL163Q04HA   'Confident use digital device to: Paying with a mobile device (e.g. mobile phone or tablet) instead of using cash'                                                                                          
 FL163Q05HA   'Confident use digital device to: Ensuring the safety of sensitive information when making an electronic payment or using online banking'                                                                   
 FL171Q01JA   'How often: Checked that you were given the right change when you bought something with cash'                                                                                                               
 FL171Q02JA   'How often:  Felt that you did not have enough money for something you wanted to buy'                                                                                                                       
 FL171Q03JA   'How often: Bought something online (alone or with a family member)'                                                                                                                                        
 FL171Q04JA   'How often: Made a payment using a smartphone (i.e. mobile phone with Internet access)'                                                                                                                     
 FL171Q05JA   'How often: Made a payment using a bank card (e.g. [debit card])'                                                                                                                                           
 FL171Q07JA   'How often: Bought something that cost more money than you intended to spend'                                                                                                                               
 FL171Q08JA   'How often:  Checked how much money you have'                                                                                                                                                               
 FL171Q09JA   'How often:  Bought something because your friends have it'                                                                                                                                                 
 FL171Q10JA   'How often: Sent money to other people with a smartphone (i.e. mobile phone with Internet access)'                                                                                                          
 FL171Q11JA   'How often: Saved money in an account at a [bank, online bank, building society, post office or credit union]'                                                                                              
 FL171Q12JA   'How often: Saved money at home'                                                                                                                                                                            
 FL169Q01HA   'Agree/disagree:  I enjoy talking about money matters.'                                                                                                                                                     
 FL169Q05JA   'Agree/disagree:  I know how to manage my money.'                                                                                                                                                           
 FL169Q02HA   'Agree/disagree:  Young people should make their own decisions about how to spend their money.'                                                                                                             
 FL169Q06JA   'Agree/disagree:  I buy things according to how I feel at the moment.'                                                                                                                                      
 FL169Q07JA   'Agree/disagree:  Saving is something I do only if I have money left over.'                                                                                                                                 
 FL169Q03HA   'Agree/disagree:  Money matters are not relevant for me right now.'                                                                                                                                         
 FL169Q04HA   'Agree/disagree:  I would like to run my own business in the future.'                                                                                                                                       
 FL169Q08JA   'Agree/disagree:  I am able to work effectively towards long-term goals.'                                                                                                                                   
 FL169Q10JA   'Agree/disagree:  I make savings goals for certain things I want to buy or to do.'                                                                                                                          
 FL169Q11JA   'Agree/disagree:  It is easier to monitor my spending when I pay by cash than when I pay with a bank card.'                                                                                                 
 FL172Q01JA   'Agree/disagree: My friends have a strong influence on my spending decisions.'                                                                                                                              
 FL172Q03JA   'Agree/disagree: I want to keep up with my friends' life style.'                                                                                                                                            
 FL172Q05JA   'Agree/disagree: Sometimes I spend more than I would like when I am with my friends.'                                                                                                                       
 FL172Q06JA   'Agree/disagree: I often buy what my friends recommend.'                                                                                                                                                    
 IC170Q01JA   'How often use at school: Desktop or laptop computer'                                                                                                                                                       
 IC170Q02JA   'How often use at school: Smartphone (i.e. mobile phone with internet access)'                                                                                                                              
 IC170Q03JA   'How often use at school: [Tablet device] (e.g. [iPad®], [Galaxy Book®],) or [e-book reader] (e.g. [Amazon Kindle™], [Kobo®])'                                                                              
 IC170Q04JA   'How often use at school: Internet access (except on smartphones)'                                                                                                                                          
 IC170Q05JA   'How often use at school: School portal (to consult timetable, absences, etc.)'                                                                                                                             
 IC170Q06JA   'How often use at school: Educational software, games or apps, other learning tools (e.g. [CK-12™] or [Mathalicious®] online support)'                                                                      
 IC170Q07JA   'How often use at school: A learning management system or school learning platform (e.g. [Blackboard®], [Edmodo®], [Moodle®], [Google® Classroom™])'                                                        
 IC171Q01JA   'How often use out of school: Desktop or laptop computer'                                                                                                                                                   
 IC171Q02JA   'How often use out of school: Smartphone (i.e. mobile phone with Internet access)'                                                                                                                          
 IC171Q03JA   'How often use out of school: Tablet device (e.g.iPad®, Galaxy Book®,) or e-book reader (e.g., Amazon® Kindle™, Kobo®)'                                                                                     
 IC171Q04JA   'How often use out of school: Internet access (except on smartphones)'                                                                                                                                      
 IC171Q05JA   'How often use out of school: Educational software, games or Apps, other learning tools (e.g. CK-12™ or Mathalicious® online support)'                                                                      
 IC171Q06JA   'How often use out of school: Video or online games (e.g. used with game consoles such as a  Play Station 4® or Nintendo Wii®, online gaming platforms such as  Steam® or gaming Apps such as Angry Birds®)'
 IC172Q01JA   'Agree/disagree: There are enough [digital resources] for every student at my school.'                                                                                                                      
 IC172Q02JA   'Agree/disagree: There are enough digital devices with access to the Internet at my school.'                                                                                                                
 IC172Q03JA   'Agree/disagree: The school's Internet speed is sufficient.'                                                                                                                                                
 IC172Q04JA   'Agree/disagree: [Digital resources] function properly at my school.'                                                                                                                                       
 IC172Q05JA   'Agree/disagree: [Digital resources] are easily accessible within the classroom.'                                                                                                                           
 IC172Q06JA   'Agree/disagree: Digital learning resources available at my school make learning interesting.'                                                                                                              
 IC172Q07JA   'Agree/disagree: The school provides sufficient technical support to help students in their use of [digital resources].'                                                                                    
 IC172Q08JA   'Agree/disagree: Teachers at my school have the necessary skills to use digital devices during instruction.'                                                                                                
 IC172Q09JA   'Agree/disagree: Teachers at my school are willing to use [digital resources] for teaching.'                                                                                                                
 IC173Q01JA   'How often use [digital resources] in lessons in: [Test language]'                                                                                                                                          
 IC173Q02JA   'How often use [digital resources] in lessons in: [Mathematics]'                                                                                                                                            
 IC173Q03JA   'How often use [digital resources] in lessons in: [Science]'                                                                                                                                                
 IC173Q04JA   'How often use [digital resources] in lessons in: [Computer science], [information technology], [informatics] or similar lessons.'                                                                          
 IC174Q01JA   'How often used [digital resources] to: Create a multi-media presentation with pictures, sound or video'                                                                                                    
 IC174Q02JA   'How often used [digital resources] to: Write or edit text for a school assignment (e.g. using [Google® Docs™], [Microsoft® Word])'                                                                         
 IC174Q03JA   'How often used [digital resources] to: Find information online about real-world problems or phenomena (e.g. climate change, oil spills, measuring the height of a building)'                               
 IC174Q04JA   'How often used [digital resources] to: Collect and record data (e.g. using data loggers, [Microsoft® Access™], [Google® Forms], spreadsheets)'                                                             
 IC174Q05JA   'How often: used [digital resources] to: Analyse data that you have collected yourself (e.g. using [Microsoft® Excel™])'                                                                                    
 IC174Q06JA   'How often used [digital resources] to: Report or share your results from your own experiments or investigations'                                                                                           
 IC174Q07JA   'How often used [digital resources] to: Plan and manage work or projects (e.g. dividing tasks, managing deadlines)'                                                                                         
 IC174Q08JA   'How often used [digital resources] to: Track the progress of your own work projects'                                                                                                                       
 IC174Q09JA   'How often used [digital resources] to: Collaborate with other students to create digital content (e.g. presentation, etc.)'                                                                                
 IC174Q10JA   'How often used [digital resources] to: Play digital learning games (e.g. [Atlantis Remixed], [Duolingo®])'                                                                                                 
 IC175Q01JA   'How often used [digital resources] to: Read or listen to feedback sent by my teachers regarding my work and academic results'                                                                              
 IC175Q02JA   'How often used [digital resources] to: Read or listen to feedback sent by other students on my work'                                                                                                       
 IC175Q03JA   'How often used [digital resources] to: Read or listen to feedback automatically selected for me by an educational software or app'                                                                         
 IC175Q05JA   'How often used [digital resources] to: Work on drill and practice exercises using an educational software or app'                                                                                          
 IC176Q01JA   'How often used [digital resources] to: See my grades or results from specific assignments (e.g. homework or tests)'                                                                                        
 IC176Q02JA   'How often used [digital resources] to: Browse the Internet for schoolwork (e.g. for preparing an essay or presentation)'                                                                                   
 IC176Q03JA   'How often used [digital resources] to: Browse the Internet to follow up lessons (e.g. for finding explanations)'                                                                                           
 IC176Q04JA   'How often used [digital resources] to: Receive or download assignments or instructions (via [digital resources]) from my teacher'                                                                          
 IC176Q05JA   'How often used [digital resources] to: Upload my work (e.g. documents or presentations) to a school portal or another platform to share materials with my teacher and/or students'                         
 IC176Q06JA   'How often used [digital resources] to: Communicate with my teacher'                                                                                                                                        
 IC176Q07JA   'How often used [digital resources] to: Communicate with other students about schoolwork'                                                                                                                   
 IC176Q08JA   'How often used [digital resources] to: Search for information on school-related activities or assignments'                                                                                                 
 IC184Q01JA   'How often: I use [digital resources] for simple calculations.'                                                                                                                                             
 IC184Q02JA   'How often: I use [digital resources] to solve equations.'                                                                                                                                                  
 IC184Q03JA   'How often: I use [digital resources] for simulations and modelling (e.g. [GeoGebra], [NetLogo]), virtual laboratories (e.g. [Labster]).'                                                                   
 IC184Q04JA   'How often: I use [digital resources] for coding or algorithm activities (e.g. using [Scratch], etc.)'                                                                                                      
 IC177Q01JA   'How much time spent: Play video-games (using my smartphone, a gaming console or an online platform or apps)'                                                                                               
 IC177Q02JA   'How much time spent: Browse social networks (e.g. [Instagram®], [Facebook®])'                                                                                                                              
 IC177Q03JA   'How much time spent: Browse the Internet (excluding social networks) for fun (e.g. reading news, listening to podcasts and music or watching videos)'                                                      
 IC177Q04JA   'How much time spent: Look for practical information online (e.g. find a place, book a train ticket, buy a product)'                                                                                        
 IC177Q05JA   'How much time spent: Communicate and share digital content on social networks or any communication platform (e.g. [Facebook®], [Instagram®], [Twitter®], emails, chat)'                                    
 IC177Q06JA   'How much time spent: Read, listen to or view informational materials to learn how to do something (e.g. tutorial, podcast)'                                                                                
 IC177Q07JA   'How much time spent: Create or edit my own digital content (pictures, videos, music, videos, computer programs)'                                                                                           
 IC178Q01JA   'How much time using [digital resources] to: Play video-games (using my smartphone, a gaming console or an online platform or apps)'                                                                        
 IC178Q02JA   'How much time using [digital resources] to: Browse social networks (e.g. Instagram®, Facebook®)'                                                                                                           
 IC178Q03JA   'How much time using [digital resources] to: Browse the Internet (excluding social networks) for fun  (e.g. reading news, listening to podcasts and music or watching videos)'                              
 IC178Q04JA   'How much time using [digital resources] to: Look for practical information online (e.g. find a place, book a train ticket, buy a product)'                                                                 
 IC178Q05JA   'How much time using [digital resources] to: Communicate and share digital content on social networks or any communication platform (e.g. Facebook®, Instagram®, Twitter®, emails, chat)'                   
 IC178Q06JA   'How much time using [digital resources] to: Read, listen to or view informational materials to learn how to do something (e.g. tutorial, podcast)'                                                         
 IC178Q07JA   'How much time using [digital resources] to: Create or edit my own digital content (pictures, videos, music, videos, computer programs)'                                                                    
 IC179Q01JA   'Agree/disagree: Students should not be allowed to bring mobile phones to class.'                                                                                                                           
 IC179Q02JA   'Agree/disagree: Students should not be allowed to bring their own laptop (or tablet device) to class.'                                                                                                     
 IC179Q03JA   'Agree/disagree: Students should collaborate with teachers to decide on the rules regarding the use of digital devices during lessons.'                                                                     
 IC179Q04JA   'Agree/disagree: The school should set up filters to prevent students from going on social media.'                                                                                                          
 IC179Q05JA   'Agree/disagree: The school should set up filters to prevent students from playing games online.'                                                                                                           
 IC179Q06JA   'Agree/disagree: Teachers should monitor what students do on their laptops.'                                                                                                                                
 IC180Q01JA   'Agree/disagree: I trust what I read online.'                                                                                                                                                               
 IC180Q02JA   'Agree/disagree: When searching for information online I compare different sources.'                                                                                                                        
 IC180Q03JA   'Agree/disagree: I check the accuracy of online information before sharing it on social networks.'                                                                                                          
 IC180Q04JA   'Agree/disagree: I discuss the accuracy of online information with my teachers or in class.'                                                                                                                
 IC180Q05JA   'Agree/disagree: I discuss the accuracy of online information with friends or other students.'                                                                                                              
 IC180Q06JA   'Agree/disagree: I discuss the accuracy of online information with my parents (or family).'                                                                                                                 
 IC180Q07JA   'Agree/disagree: I try to flag wrong information when I encounter it online.'                                                                                                                               
 IC180Q08JA   'Agree/disagree: I share made-up information on social networks without flagging its inaccuracy.'                                                                                                           
 IC181Q01JA   'How upset were you when: Encountering content online that was inappropriate for my age'                                                                                                                    
 IC181Q02JA   'How upset were you when: Encountering discriminatory content online (e.g. about race, gender, sexual orientation or physical appearance)'                                                                  
 IC181Q03JA   'How upset were you when: Receiving unkind, vulgar or offending messages, comments or videos'                                                                                                               
 IC181Q04JA   'How upset were you when: Information about me was publicly displayed online without my consent'                                                                                                            
